,ranking,title,location,continent,number_students,students_staff_ratio,perc_intl_students,gender_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,intl_outlook_score,latitude,longitude
0,1,University of Oxford,United Kingdom,Europe,20774.0,11.1,41%,46 : 54,95.6,91.3,99.6,98.0,68.7,96.4,51.7548164,-1.2543668
1,2,Stanford University,United States,America,16223.0,7.4,23%,44 : 56,94.9,92.2,96.7,99.9,90.1,79.5,37.4274745,-122.169719
2,3,Harvard University,United States,America,21261.0,9.3,25%,49 : 51,94.8,94.4,98.8,99.4,46.8,77.7,42.3770029,-71.11666009999999
3,4,California Institute of Technology,United States,America,2238.0,6.3,33%,36 : 64,94.5,92.5,96.9,97.0,92.7,83.6,34.1376576,-118.125269
4,5,Massachusetts Institute of Technology,United States,America,11276.0,8.4,34%,39 : 61,94.4,90.7,94.4,99.7,90.4,90.0,42.360091,-71.09416
5,6,University of Cambridge,United Kingdom,Europe,19370.0,11.0,38%,47 : 53,94.0,90.3,99.2,95.6,52.1,95.7,52.2042666,0.1149085
6,7,"University of California, Berkeley",United States,America,39918.0,19.8,17%,51 : 49,92.2,85.8,97.2,99.1,84.3,72.3,37.8718992,-122.2585399
7,8,Yale University,United States,America,12910.0,6.0,20%,50 : 50,91.6,91.9,93.8,97.9,56.1,68.4,41.3163244,-72.92234309999999
8,9,Princeton University,United States,America,8091.0,8.0,23%,46 : 54,91.5,88.8,92.5,98.9,58.0,80.2,40.3430942,-74.65507389999999
9,10,The University of Chicago,United States,America,14292.0,5.9,31%,46 : 54,90.3,88.9,90.5,98.6,54.9,74.0,41.7886079,-87.5987133
